bon_id;kunde;tag;verkaufsstunde;verkaufspositionsnr;referenzcluster;plz;stadt;bruttowert;edeka_oberwarengruppe;edeka_warengruppe;warengruppe_text;artikel;artikel_text
"20210522-071026-0000000006-00000000000000000500;71026;20210522;17;7;3;56072;Koblenz;1.490;112000;112001;Getreidedrinks;4040854009;Alpro Barista Haferdrink 1l"
"20210518-071046-0000000003-00000000000000009690;71046;20210518;18;8;1;46537;Dinslaken;0.980;210400;210405;Gefüllte Teigwaren;3863712008;E.Italia Tortellini Tricolore 250g"
"20210522-071026-0000000006-00000000000000000500;71026;20210522;17;8;3;56072;Koblenz;1.490;112000;112001;Getreidedrinks;4040854009;Alpro Barista Haferdrink 1l"
"20210518-071046-0000000003-00000000000000009693;71046;20210518;18;13;1;46537;Dinslaken;0.880;210400;210401;Hartweizengrießteigw;138564003;3 Glocken Genuss Pur Mini Maccaroni 500g"
"20210522-071026-0000000006-00000000000000000513;71026;20210522;18;12;3;56072;Koblenz;2.690;112000;112002;Nussdrinks;3973465001;Alpro Kokosnuss Ungesüßt Drink 1l"
"20210518-071046-0000000003-00000000000000009693;71046;20210518;18;14;1;46537;Dinslaken;0.880;210400;210401;Hartweizengrießteigw;138564003;3 Glocken Genuss Pur Mini Maccaroni 500g"
"20210522-071026-0000000006-00000000000000000518;71026;20210522;18;2;3;56072;Koblenz;1.490;112000;112001;Getreidedrinks;4040854009;Alpro Barista Haferdrink 1l"
"20210518-071046-0000000003-00000000000000009708;71046;20210518;19;7;1;46537;Dinslaken;0.880;210400;210404;Eierteigwaren;2193655001;Birkel Gabelspaghetti 500g"
"20210522-071026-0000000006-00000000000000000528;71026;20210522;18;7;3;56072;Koblenz;0.990;112100;112104;Pflanz.Sahne;2953038006;Alpro Soya H-Cooking 250ml"
"20210518-071046-0000000003-00000000000000009708;71046;20210518;19;8;1;46537;Dinslaken;0.880;210400;210404;Eierteigwaren;2193655001;Birkel Gabelspaghetti 500g"
"20210522-071026-0000000006-00000000000000000532;71026;20210522;18;4;3;56072;Koblenz;0.630;110700;110701;H-Sahne;3972352003;G&G H-Sahne 30% 200g VLOG"
"20210518-071046-0000000003-00000000000000009708;71046;20210518;19;9;1;46537;Dinslaken;0.880;210400;210404;Eierteigwaren;2193655001;Birkel Gabelspaghetti 500g"
"20210522-071026-0000000006-00000000000000000561;71026;20210522;19;8;3;56072;Koblenz;0.630;110700;110701;H-Sahne;3972352003;G&G H-Sahne 30% 200g VLOG"
"20210518-071046-0000000003-00000000000000009741;71046;20210518;20;23;1;46537;Dinslaken;0.490;210400;210401;Hartweizengrießteigw;572190002;G&G Penne Rigate  500g"
"20210522-071026-0000000006-00000000000000000561;71026;20210522;19;9;3;56072;Koblenz;0.630;110700;110701;H-Sahne;3972352003;G&G H-Sahne 30% 200g VLOG"
"20210518-071046-0000000003-00000000000000009763;71046;20210518;20;46;1;46537;Dinslaken;0.880;210400;210401;Hartweizengrießteigw;768369005;3 Glocken Genuss Pur Spätzle 500g"
"20210522-071026-0000000006-00000000000000000561;71026;20210522;19;10;3;56072;Koblenz;0.630;110700;110701;H-Sahne;3972352003;G&G H-Sahne 30% 200g VLOG"
"20210518-071046-0000000003-00000000000000009763;71046;20210518;20;10;1;46537;Dinslaken;1.690;210400;210401;Hartweizengrießteigw;128840007;Barilla Fusilli 500g"
"20210522-071026-0000000006-00000000000000000561;71026;20210522;19;11;3;56072;Koblenz;0.630;110700;110701;H-Sahne;3972352003;G&G H-Sahne 30% 200g VLOG"
"20210518-071046-0000000003-00000000000000009763;71046;20210518;20;11;1;46537;Dinslaken;1.690;210400;210401;Hartweizengrießteigw;128840007;Barilla Fusilli 500g"
"20210518-071046-0000000003-00000000000000009763;71046;20210518;20;8;1;46537;Dinslaken;1.690;210400;210401;Hartweizengrießteigw;128841000;Barilla Penne Rigate 500g"
"20210518-071046-0000000001-00000000000000003580;71046;20210518;8;30;1;46537;Dinslaken;0.990;220300;220303;Fertigsoßen;3031514007;Maggi Deli.Sauce zu Braten f.3x250ml"
"20210522-071026-0000000006-00000000000000000580;71026;20210522;19;12;3;56072;Koblenz;1.990;112000;112001;Getreidedrinks;3642013003;Oatly Haferdrink Calcium 1l"
"20210518-071046-0000000001-00000000000000003621;71046;20210518;9;8;1;46537;Dinslaken;0.490;220300;220301;Fixprodukte;1398978001;Knorr Fix Bauerntopf mit Hackfleisch 43g"
"20210522-071026-0000000006-00000000000000000600;71026;20210522;20;1;3;56072;Koblenz;1.490;110300;110301;H-Milch Kuh;4578980007;Weih.Haltbare Barista Milch 1l"
"20210518-071046-0000000001-00000000000000003621;71046;20210518;9;6;1;46537;Dinslaken;0.490;220300;220301;Fixprodukte;1399475000;Knorr Fix Hack Reis Topf 49g"
"20210522-071026-0000000006-00000000000000000600;71026;20210522;20;2;3;56072;Koblenz;1.490;110300;110301;H-Milch Kuh;4578980007;Weih.Haltbare Barista Milch 1l"
"20210518-071046-0000000001-00000000000000003638;71046;20210518;10;7;1;46537;Dinslaken;0.990;220300;220303;Fertigsoßen;2212023000;Maggi FG Sauce Käse Sahne f.250ml"
"20210522-071026-0000000006-00000000000000000619;71026;20210522;20;13;3;56072;Koblenz;0.630;110700;110701;H-Sahne;3972352003;G&G H-Sahne 30% 200g VLOG"
"20210518-071046-0000000001-00000000000000003640;71046;20210518;10;10;1;46537;Dinslaken;0.890;220300;220302;Fertigsuppen;2876585001;Maggi GAP Rindfleisch Suppe f.1l"
"20210522-071026-0000000006-00000000000000000619;71026;20210522;20;14;3;56072;Koblenz;0.630;110700;110701;H-Sahne;3972352003;G&G H-Sahne 30% 200g VLOG"
"20210518-071046-0000000001-00000000000000003640;71046;20210518;10;11;1;46537;Dinslaken;0.890;220300;220302;Fertigsuppen;3499060007;Maggi GAP Hochzeits Suppe f.1l"
"20210522-071026-0000000006-00000000000000000619;71026;20210522;20;15;3;56072;Koblenz;0.630;110700;110701;H-Sahne;3972352003;G&G H-Sahne 30% 200g VLOG"
"20210518-071046-0000000001-00000000000000003655;71046;20210518;10;11;1;46537;Dinslaken;1.190;220300;220302;Fertigsuppen;3499047004;Maggi FG Spargel Cremesuppe f.500ml"
"20210522-071026-0000000006-00000000000000000639;71026;20210522;20;13;3;56072;Koblenz;0.630;110700;110701;H-Sahne;3972352003;G&G H-Sahne 30% 200g VLOG"
"20210518-071046-0000000001-00000000000000003677;71046;20210518;11;5;1;46537;Dinslaken;0.890;220300;220302;Fertigsuppen;1231707009;Maggi GAP Hühnersuppe f.1l"
"20210522-071026-0000000006-00000000000000000656;71026;20210522;21;68;3;56072;Koblenz;1.190;110700;110704;Sprühsahne;3944397001;G&G Sprühsahne 20% 250ml VLOG"
"20210518-071046-0000000001-00000000000000003677;71046;20210518;11;19;1;46537;Dinslaken;1.190;220300;220303;Fertigsoßen;3031506006;Maggi Delik.Geflügel Sauce f.2x250ml"
